mondo_iri	replaces_iri	replaces_label
http://purl.obolibrary.org/obo/MONDO_0002656	http://www.ebi.ac.uk/efo/EFO_0009259	skin carcinoma
http://purl.obolibrary.org/obo/MONDO_0002889	http://www.ebi.ac.uk/efo/EFO_0007408	orbital cancer
http://purl.obolibrary.org/obo/MONDO_0003130	http://www.ebi.ac.uk/efo/EFO_0007365	mesoblastic nephroma
http://purl.obolibrary.org/obo/MONDO_0005721	http://www.ebi.ac.uk/efo/EFO_0007226	coxsackievirus infectious disease
http://purl.obolibrary.org/obo/MONDO_0009049	http://www.ebi.ac.uk/efo/EFO_0009041	Cushing syndrome due to macronodular adrenal hyperplasia
http://purl.obolibrary.org/obo/MONDO_0010837	http://www.ebi.ac.uk/efo/EFO_0008519	primary hyperparathyroidism
http://purl.obolibrary.org/obo/MONDO_0014435	http://www.ebi.ac.uk/efo/EFO_0009026	Bardet-Biedl syndrome 7
http://purl.obolibrary.org/obo/MONDO_0014437	http://www.ebi.ac.uk/efo/EFO_0009027	Bardet-Biedl syndrome 9
http://purl.obolibrary.org/obo/MONDO_0014438	http://www.ebi.ac.uk/efo/EFO_0009022	Bardet-Biedl syndrome 10
http://purl.obolibrary.org/obo/MONDO_0014440	http://www.ebi.ac.uk/efo/EFO_0009023	Bardet-Biedl syndrome 12
http://purl.obolibrary.org/obo/MONDO_0015967	http://www.ebi.ac.uk/efo/EFO_1001511	monogenic diabetes
http://purl.obolibrary.org/obo/MONDO_0016743	http://www.ebi.ac.uk/efo/EFO_0003851	meningeal neoplasm
http://purl.obolibrary.org/obo/MONDO_0016755	http://www.ebi.ac.uk/efo/EFO_0000622	neurofibroma
http://purl.obolibrary.org/obo/MONDO_0017827	http://www.ebi.ac.uk/efo/EFO_0000760	malignant peripheral nerve sheath tumor
http://purl.obolibrary.org/obo/MONDO_0020799	http://www.ebi.ac.uk/efo/EFO_1001763	basal cell neoplasm
http://purl.obolibrary.org/obo/MONDO_0020804	http://www.ebi.ac.uk/efo/EFO_0004193	basal cell carcinoma
http://purl.obolibrary.org/obo/MONDO_0021240	http://www.ebi.ac.uk/efo/EFO_0003871	tongue neoplasm
http://purl.obolibrary.org/obo/MONDO_0023880	http://www.orpha.net/ORDO/Orphanet_51636	WHIM syndrome
http://purl.obolibrary.org/obo/MONDO_0024291	http://www.ebi.ac.uk/efo/EFO_0006888	vascular malformation
http://purl.obolibrary.org/obo/MONDO_0044014	http://www.ebi.ac.uk/efo/EFO_1001403	Postpartum Thyroiditis
http://purl.obolibrary.org/obo/MONDO_0100577	http://www.ebi.ac.uk/efo/EFO_1001900	myoclonic epilepsy
http://purl.obolibrary.org/obo/MONDO_0700335	http://www.ebi.ac.uk/efo/EFO_0700036	familial isolated dilated cardiomyopathy
http://purl.obolibrary.org/obo/MONDO_0700466	http://www.ebi.ac.uk/efo/EFO_0700127	presynaptic congenital myasthenic syndrome
http://purl.obolibrary.org/obo/MONDO_0700478	http://www.ebi.ac.uk/efo/EFO_0700134	resistance to thyroid hormone due to a mutation in thyroid hormone receptor beta
http://purl.obolibrary.org/obo/MONDO_0700513	http://www.ebi.ac.uk/efo/EFO_0700136	apolipoprotein A-I deficiency
http://purl.obolibrary.org/obo/MONDO_0800444	http://www.ebi.ac.uk/efo/EFO_0700020	Birt-Hogg-Dube syndrome
http://purl.obolibrary.org/obo/MONDO_0800446	http://www.ebi.ac.uk/efo/EFO_0700023	bleeding diathesis due to thromboxane synthesis deficiency
http://purl.obolibrary.org/obo/MONDO_1010128	http://www.ebi.ac.uk/efo/EFO_0008588	peritonitis
